,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
612,RT @OnlyintheICU: Just got OTC Narcan with a $24 copay! Doing research on layperson Narcan access for school. https://t.co/csl0tVGhGs,FALSE,0,NA,10/27/2017 21:31,FALSE,NA,9.24026E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bionurseflygirl,8,TRUE,FALSE,NA,NA
613,"@g0ldenraes Yeah I’ve read in detail of this happening, any reason as to why narcan is so easy to possess? I take it you’re a MD or nurse?",FALSE,0,g0ldenraes,10/27/2017 21:31,FALSE,9.24025E+17,9.24026E+17,7.47226E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cuddykilla,0,FALSE,FALSE,NA,NA
614,RT @DarrenRipley1: Narcan Opioid Overdose Spray Is Now Stocked By All Walgreens Pharmacies https://t.co/7UYXveiMU7,FALSE,0,NA,10/27/2017 21:31,FALSE,NA,9.24026E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CKolodney,2,TRUE,FALSE,NA,NA
615,Narcan Is Now Available Over the Counter in 45 States  https://t.co/qpVUDfZPIi,FALSE,0,NA,10/27/2017 21:30,FALSE,NA,9.24026E+17,NA,"<a href=""http://ridder.co"" rel=""nofollow"">Ridder: turn sharing into growth</a>",LeRoyMoco,0,FALSE,FALSE,NA,NA
616,Narcan won’t solve the opioid epidemic. Cool that you’re giving them free advertising tho’. https://t.co/zknIGtoIwn,FALSE,4,NA,10/27/2017 21:29,FALSE,NA,9.24025E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tryanmax,1,FALSE,FALSE,NA,NA
617,RT @love_xrichon: White ppl overdosing on opioids now it's a national crisis<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> even selling Narcan @ Walgreens...wow! They use to just throw…,FALSE,0,NA,10/27/2017 21:29,FALSE,NA,9.24025E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",debON_AIRmtm,3,TRUE,FALSE,NA,NA
618,"i wouldn’t say it does wonders, it’s encouraged them to push limits. They’re having narcan parties where a bunch ge… https://t.co/3gx5eUMQ2i",FALSE,0,NA,10/27/2017 21:27,TRUE,NA,9.24025E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",g0ldenraes,0,FALSE,FALSE,NA,NA
619,Delco Police Who Saved Lives With Narcan Honored Friday https://t.co/6nbN5atx8H,FALSE,0,NA,10/27/2017 21:25,FALSE,NA,9.24024E+17,NA,"<a href=""http://127.0.0.1/"" rel=""nofollow"">Officer Bot</a>",OfficerBot,0,FALSE,FALSE,NA,NA
620,"@g0ldenraes Was just reading up on this for class, was told narcan does wonders for addicts, I hate to hear that it… https://t.co/j7i8wzhGc3",FALSE,0,g0ldenraes,10/27/2017 21:24,TRUE,9.24022E+17,9.24024E+17,7.47226E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cuddykilla,0,FALSE,FALSE,NA,NA
621,RT @g0ldenraes: I’ve had to give OD patients upward of 8 mg of Narcan to reverse heroin/morphine/fentanyl.  it’ll wake me up briefly but th…,FALSE,0,NA,10/27/2017 21:24,FALSE,NA,9.24024E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CantBanDaLilMan,1,TRUE,FALSE,NA,NA
622,RT @g0ldenraes: Junkies gonna be PISSED when they realize that narcan has a rebound effect...the standard otc dose doesn’t always reverse o…,FALSE,0,NA,10/27/2017 21:23,FALSE,NA,9.24024E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CantBanDaLilMan,3,TRUE,FALSE,NA,NA
623,RT @ZackSpaceOhio: Will Sheriff Jones sleep soundly if a toddler ODs on an addict's stash? Barring Narcan only adds to the cruelty of the h…,FALSE,0,NA,10/27/2017 21:23,FALSE,NA,9.24024E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vjacobs52,9,TRUE,FALSE,NA,NA
624,RT @FamOf5Macs: Yes. I have an issue with public education facilities (K-12) carrying NARCAN. My concern is why is this acceptable with no…,FALSE,0,NA,10/27/2017 21:22,FALSE,NA,9.24024E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wayne5Juan,1,TRUE,FALSE,NA,NA
625,"RT @bonekovic02: IMAGINE if cancer patients got chemo for free, ya know since people who overdose get Narcan FOR FREE.",FALSE,0,NA,10/27/2017 21:22,FALSE,NA,9.24024E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jonathan_hiner1,185,TRUE,FALSE,NA,NA
